,Time,Voltage
215,17.76575,0.9594008
216,17.84837,0.9594026
217,17.931,0.9594089
218,18.01363,0.959411
219,18.09627,0.9594145
220,18.1789,0.9594241
221,18.26153,0.959425
222,18.34414,0.9594356
223,18.42676,0.9594341
224,18.50937,0.9594363
225,18.59201,0.9594412
226,18.67464,0.9594524
227,18.75726,0.9594464
228,18.83988,0.9594595
229,18.92249,0.9594612
230,19.00512,0.959474
231,19.08774,0.9594741
232,19.17037,0.9594781
233,19.25298,0.9594821
234,19.33559,0.959488
235,19.41822,0.9594906
236,19.50086,0.9594872
237,19.58351,0.959499
238,19.66616,0.9594961
239,19.74882,0.9595013
240,19.83145,0.9595102
241,19.91409,0.9595147
242,19.99673,0.9595157
243,20.07937,0.959523
244,20.16201,0.9595225
245,20.24466,0.9595268
246,20.3273,0.9595342
247,20.40994,0.9595336
248,20.49259,0.9595402
249,20.57523,0.9595423
250,20.65788,0.9595515
251,20.74053,0.9595525
252,20.82316,0.9595584
253,20.9058,0.9595556
254,20.98843,0.959572
255,21.07108,0.9595702
256,21.15371,0.959576
257,21.23635,0.9595799
258,21.31898,0.9595861
259,21.40162,0.9595861
260,21.48424,0.9595903
261,21.56687,0.9595953
262,21.64951,0.9596039
263,21.73215,0.9596053
264,21.81477,0.9596139
265,21.89739,0.9596094
266,21.98004,0.9596192
267,22.06266,0.9596224
268,22.14529,0.9596295
269,22.22792,0.9596351
270,22.31055,0.9596392
271,22.39317,0.9596468
272,22.47581,0.9596511
273,22.55842,0.9596505
274,22.64104,0.9596591
275,22.72368,0.9596611
276,22.80629,0.9596716
277,22.88893,0.959677
278,22.97154,0.9596854
279,23.05418,0.9596902
280,23.13679,0.9596978
281,23.21943,0.9596995
282,23.30205,0.9597093
283,23.38466,0.9597106
284,23.46727,0.9597203
285,23.5499,0.9597267
286,23.63252,0.9597289
287,23.71516,0.9597436
288,23.79779,0.9597431
289,23.8804,0.9597459
290,23.96302,0.9597549
291,24.04563,0.9597623
292,24.12827,0.9597632
293,24.2109,0.9597658
294,24.29351,0.9597767
295,24.37614,0.9597815
296,24.45877,0.9597796
297,24.5414,0.9597793
298,24.62403,0.959794
299,24.70668,0.9597929
300,24.78931,0.9598007
301,24.87196,0.9598038
302,24.9546,0.959802
303,25.03725,0.9598104
304,25.1199,0.9598173
305,25.20254,0.9598209
306,25.2852,0.9598246
307,25.36782,0.959834
308,25.45047,0.9598348
309,25.53309,0.9598392
310,25.61574,0.9598467
311,25.69838,0.9598501
312,25.78102,0.9598531
313,25.86364,0.9598591
314,25.94629,0.9598627
315,26.02894,0.9598627
316,26.11158,0.9598678
317,26.19423,0.9598714
318,26.27685,0.9598848
319,26.35949,0.9598832
320,26.44213,0.9598879
321,26.52477,0.9598954
322,26.60742,0.9598967
323,26.69005,0.9599071
324,26.77269,0.9599058
325,26.85531,0.9599133
326,26.93795,0.9599158
327,27.02057,0.9599243
328,27.10321,0.9599299
329,27.18585,0.9599293
330,27.26849,0.9599358
331,27.35111,0.9599432
332,27.43374,0.9599524
333,27.51639,0.9599545
334,27.59901,0.9599635
335,27.68165,0.9599661
336,27.76427,0.959975
337,27.84691,0.959981
338,27.92953,0.959986
339,28.01216,0.9599925
340,28.09478,0.9600009
341,28.1774,0.9600018
342,28.26001,0.9600075
343,28.34263,0.9600157
344,28.42526,0.9600201
345,28.50787,0.9600269
346,28.59051,0.9600327
347,28.67315,0.9600352
348,28.75576,0.9600373
349,28.83837,0.9600453
350,28.921,0.9600491
351,29.00363,0.9600498
352,29.08625,0.9600587
353,29.16888,0.960064
354,29.25152,0.9600648
355,29.33415,0.9600742
356,29.41675,0.9600762
357,29.4994,0.9600809
358,29.58203,0.9600831
359,29.66468,0.9600889
360,29.74731,0.9600977
361,29.82995,0.9600993
362,29.91261,0.9600942
363,29.99523,0.9601079
364,30.07788,0.9601065
365,30.16052,0.9601119
366,30.24317,0.9601156
367,30.32579,0.9601182
368,30.40843,0.9601266
369,30.49105,0.9601314
370,30.57371,0.9601365
371,30.65635,0.9601417
372,30.739,0.9601495
373,30.82165,0.9601423
374,30.90427,0.9601573
375,30.98691,0.9601577
376,31.06954,0.9601632
377,31.15219,0.9601641
378,31.23481,0.9601645
379,31.31743,0.9601727
380,31.40005,0.9601758
381,31.4827,0.9601829
382,31.56532,0.9601906
383,31.64796,0.9601966
384,31.73061,0.9601939
385,31.81326,0.9601965
386,31.89589,0.9602041
387,31.97851,0.9602077
388,32.06114,0.9602123
389,32.14376,0.9602177
390,32.2264,0.9602247
391,32.30905,0.9602273
392,32.39167,0.9602391
393,32.4743,0.9602374
394,32.55692,0.9602472
395,32.63956,0.9602446
396,32.72219,0.9602481
397,32.80481,0.9602575
398,32.88743,0.9602578
399,32.97006,0.9602645
400,33.05269,0.9602739
401,33.13532,0.9602742
402,33.21797,0.9602791
403,33.30058,0.9602745
404,33.38322,0.9602892
405,33.46585,0.9602941
406,33.54846,0.9602926
407,33.63108,0.9603091
408,33.71372,0.9603004
409,33.79633,0.9603081
410,33.87894,0.9603102
411,33.96155,0.9603158
412,34.04416,0.9603205
413,34.12678,0.9603321
414,34.2094,0.9603362
415,34.29201,0.9603375
416,34.37463,0.9603478
417,34.45725,0.960346
418,34.53987,0.9603572
419,34.6225,0.9603586
420,34.70513,0.9603673
421,34.78779,0.9603682
422,34.87042,0.9603727
423,34.95307,0.9603807
424,35.03572,0.9603847
425,35.11834,0.9603918
426,35.201,0.9603949
427,35.28363,0.960407
428,35.36627,0.9604085
429,35.44891,0.9604142
430,35.53155,0.9604198
431,35.6142,0.9604301
432,35.69686,0.9604292
433,35.7795,0.960435
434,35.86212,0.9604407
435,35.94477,0.9604372
436,36.02741,0.9604476
437,36.11006,0.9604558
438,36.1927,0.9604568
439,36.27535,0.960462
440,36.35798,0.9604666
441,36.44062,0.9604696
442,36.52326,0.9604776
443,36.60588,0.9604862
444,36.68852,0.9604839
445,36.77116,0.9604874
446,36.8538,0.9605007
447,36.93642,0.9605035
448,37.01906,0.9605061
449,37.1017,0.9605085
450,37.18434,0.9605167
451,37.26697,0.9605135
452,37.34958,0.9605195
453,37.43222,0.9605335
454,37.51485,0.9605321
455,37.5975,0.9605404
456,37.68014,0.9605484
457,37.76278,0.9605444
458,37.8454,0.9605586
459,37.92803,0.9605578
460,38.01067,0.9605635
461,38.09328,0.9605693
462,38.17592,0.9605746
463,38.25853,0.9605774
464,38.34118,0.9605771
465,38.42379,0.9605871
466,38.50643,0.9605888
467,38.58905,0.960597
468,38.67168,0.9606029
469,38.75429,0.9606071
470,38.83691,0.9606146
471,38.91954,0.9606121
472,39.00216,0.960618
473,39.08479,0.9606231
474,39.16741,0.9606258
475,39.25004,0.9606413
476,39.33265,0.960636
477,39.41528,0.9606451
478,39.4979,0.9606476
479,39.58052,0.9606518
480,39.66314,0.9606603
481,39.74577,0.9606556
482,39.82841,0.9606673
483,39.91104,0.9606629
484,39.99367,0.9606709
485,40.07632,0.9606724
486,40.15896,0.9606785
487,40.24161,0.9606872
488,40.32426,0.9606884
489,40.40688,0.960701
490,40.48953,0.9607042
491,40.57216,0.9607089
492,40.65481,0.9607168
493,40.73746,0.9607214
494,40.82009,0.9607287
495,40.90273,0.9607303
496,40.98536,0.9607445
497,41.06801,0.9607446
498,41.15065,0.9607462
499,41.2333,0.9607554
500,41.31594,0.9607636
501,41.39857,0.9607659
502,41.48121,0.9607718
503,41.56383,0.9607717
504,41.64647,0.9607745
505,41.72911,0.9607791
506,41.81173,0.9607857
507,41.89436,0.9607939
508,41.977,0.9607949
509,42.05962,0.9608015
510,42.14226,0.9608101
511,42.2249,0.9608073
512,42.30752,0.9608181
513,42.39015,0.9608208
514,42.47277,0.9608325
515,42.5554,0.9608408
516,42.63804,0.9608443
517,42.72067,0.9608451
518,42.80329,0.9608526
519,42.88593,0.960849
520,42.96854,0.9608604
521,43.05116,0.9608622
522,43.13379,0.9608696
523,43.21642,0.9608723
524,43.29903,0.9608798
525,43.38164,0.960888
526,43.46427,0.9608867
527,43.54688,0.960885
528,43.62952,0.960891
529,43.71216,0.9608952
530,43.79476,0.9609057
531,43.8774,0.9609048
532,43.96003,0.9609171
533,44.04264,0.9609207
534,44.12525,0.9609244
535,44.20789,0.9609275
536,44.29051,0.9609289
537,44.37314,0.960937
538,44.45575,0.9609416
539,44.53837,0.9609465
540,44.621,0.9609554
541,44.70365,0.9609576
542,44.78631,0.9609607
543,44.86895,0.9609598
544,44.9516,0.9609686
545,45.03423,0.9609748
546,45.11688,0.9609767
547,45.19952,0.9609863
548,45.28217,0.9609941
549,45.36479,0.9609955
550,45.44743,0.960999
551,45.53008,0.9610023
552,45.61271,0.9610071
553,45.69535,0.961015
554,45.778,0.961016
555,45.86065,0.9610168
556,45.94329,0.9610217
557,46.02593,0.9610288
558,46.10856,0.9610288
559,46.19119,0.9610353
560,46.27382,0.9610456
561,46.35645,0.9610456
562,46.43908,0.9610584
563,46.52171,0.9610581
564,46.60435,0.961065
565,46.687,0.961068
566,46.76962,0.9610753
567,46.85224,0.9610786
568,46.93488,0.9611019
569,47.01753,0.9610869
570,47.10016,0.9610881
571,47.1828,0.9610976
572,47.26542,0.9611034
573,47.34806,0.9611049
574,47.43069,0.9611141
575,47.51333,0.9611135
576,47.59594,0.9611179
577,47.67858,0.9611227
578,47.7612,0.9611254
579,47.84383,0.9611334
580,47.92647,0.9611378
581,48.00908,0.9611501
582,48.0917,0.9611459
583,48.17432,0.9611546
584,48.25696,0.9611582
585,48.33957,0.961162
586,48.42221,0.9611747
587,48.50484,0.9611751
588,48.58745,0.961182
589,48.67009,0.9611831
590,48.75273,0.9611882
591,48.83536,0.9611946
592,48.91797,0.9611945
593,49.0006,0.9612064
594,49.08321,0.9612085
595,49.16585,0.9612114
596,49.24846,0.9612123
597,49.33109,0.9612134
598,49.41372,0.9612232
599,49.49633,0.9612256
600,49.57896,0.9612281
601,49.66159,0.9612339
602,49.74422,0.9612436
603,49.82685,0.9612448
604,49.9095,0.9612467
605,49.99214,0.9612556
606,50.07477,0.9612551
607,50.15742,0.9612639
608,50.24004,0.961272
609,50.32269,0.9612721
610,50.40533,0.961275
611,50.48798,0.961285
612,50.57063,0.9612886
613,50.65328,0.9612901
614,50.73591,0.9613005
615,50.81855,0.9612963
616,50.90118,0.9613072
617,50.98382,0.9613046
618,51.06644,0.9613078
619,51.14909,0.9613159
620,51.23173,0.9613249
621,51.31435,0.9613287
622,51.39701,0.9613375
623,51.47963,0.961334
624,51.56227,0.9613439
625,51.64492,0.9613518
626,51.72757,0.9613553
627,51.81019,0.9613644
628,51.89283,0.9613636
629,51.97547,0.9613703
630,52.0581,0.9613755
631,52.14074,0.9613801
632,52.22338,0.9613836
633,52.306,0.9613898
